id,type,expression,pose_action,camera_angle,framing,clothing,hairstyle,accessory,background,micro_scene,status
F01,Face,calm neutral with relaxed mouth and curious eyes,"standing close to the camera, holding one hand near his chest naturally","slightly above eye level, gentle 3/4 angle","close portrait showing head, neck, shoulders, and one small hand partly visible",soft striped long-sleeve shirt,"same fine black hair and same hairline, natural messy flyaway strands",none,simple living room background with soft natural window light,"quiet candid moment at home, as if he just paused while playing",Pending
F02,Face,small shy smile with cheeks slightly raised,turning slightly toward the camera while holding the edge of his hoodie,low toddler-eye-level 3/4 angle,upper-body portrait with shoulders and hands visible,light hoodie with a simple cotton collar visible,"same fine black hair and same hairline, slight side-swept toddler hair",none,neighborhood playground background with rubber safety flooring softly out of focus,playground greeting moment with the child paused near play equipment,Pending
F03,Face,"natural open-mouth laugh, joyful but not exaggerated",leaning forward slightly as if laughing during play,slightly low angle from toddler height,upper-body candid portrait with motion in shoulders,denim overall bib visible over a simple T-shirt,"same fine black hair and same hairline, lightly tousled after play",none,quiet city park path background with trees softly out of focus,"park play moment, captured mid-laugh with natural movement",Pending
F04,Face,sad pout with watery eyes but not extreme crying,sitting or crouching close to the camera with shoulders slightly hunched,slightly above eye level looking down gently,close portrait with upper torso visible,plain toddler sweatshirt,"same fine black hair and same hairline, softly brushed forward bangs",none,family car back-seat background in soft daylight,quiet car-seat moment after becoming upset,Pending
F05,Face,"crying toddler face with scrunched nose and open mouth, realistic not theatrical",reaching one hand slightly toward the camera,front-facing at toddler eye level,close portrait with hand gesture visible,soft pajama top,"same fine black hair and same hairline, slightly messy bedhead while preserving identity",none,small daycare classroom background with simple shelves softly out of focus,"daycare moment, captured quickly while needing comfort",Pending
F06,Face,mild angry toddler frown with knitted brows,crossing arms loosely or pulling hands inward near chest,front-facing with slight downward tilt,upper-body portrait with arms visible,color-block windbreaker collar visible,"same fine black hair and same hairline, small natural cowlick visible",none,apartment hallway background with neutral walls and clean floor,"hallway moment after refusing to move, ordinary toddler mood",Pending
F07,Face,sleepy half-open eyes with relaxed mouth,rubbing one eye gently with the back of one hand,soft side 3/4 angle,close portrait with one hand near face visible,soft pajama top,"same fine black hair and same hairline, natural sleepy bedhead",none,simple bedroom background with soft morning light,bedroom morning moment just after waking up,Pending
F08,Face,surprised wide eyes and small open mouth,looking upward and slightly to the side as if noticing something,low angle looking slightly upward,upper-body portrait with head turned,simple button-up overshirt over a T-shirt,"same fine black hair and same hairline, slightly neater combed toddler hair",none,aquarium hallway background with blue tank glow softly out of focus,aquarium hallway moment reacting to a bright tank,Pending
F09,Face,calm neutral with observant eyes,holding the brim of the bucket hat with one small hand,3/4 angle from slightly above,close portrait with hat and hand gesture visible,plain toddler sweatshirt,"same fine black hair and same hairline, hair partly visible under the hat","soft bucket hat, face fully visible",zoo walking path background with distant enclosure fencing softly out of focus,zoo walkway pause while looking around calmly,Pending
F10,Face,small proud smile behind child-safe sunglasses,tilting head slightly while touching the sunglasses frame,front-facing with slight side tilt,upper-body portrait with sunglasses gesture visible,neat polo shirt,"same fine black hair and same hairline, hair visible around the temples","child-safe sunglasses, eyes may be partially covered but face shape remains clear",shopping mall atrium background with storefronts and soft indoor lighting,"shopping mall moment, playful dress-up feeling but still candid",Pending
F11,Face,quiet curious expression,looking out a cafe window from the side,left side profile at eye level,side-profile portrait with shoulder and cheek contour clear,knit sweater collar visible,"same fine black hair and same hairline, side profile hair contour preserved",none,casual cafe window background with tables softly out of focus,cafe window moment watching something outside,Pending
F12,Face,focused neutral expression,looking toward a low bookshelf from the side,right side profile at toddler eye level,side-profile portrait with shoulder and ear visible,light cardigan over a simple shirt,"same fine black hair and same hairline, side profile hair contour preserved",none,children's library corner background with low bookshelves softly out of focus,library moment while scanning bookshelves,Pending
F13,Face,small smile with relaxed cheeks,turning back toward the camera from a 45-degree angle,left 45-degree angle at eye level,3/4 face portrait with upper torso visible,casual matching sweatshirt top,"same fine black hair and same hairline, slight side-swept toddler hair",small knit beanie pushed back so forehead and face remain visible,restaurant storefront sidewalk background with simple signage shapes softly out of focus,restaurant storefront moment while pausing on the sidewalk,Pending
F14,Face,small smile with curious eyes,holding backpack straps while turning slightly to the camera,right 45-degree angle from toddler height,upper-body 3/4 portrait with strap gesture visible,simple thermal shirt,"same fine black hair and same hairline, natural messy flyaway strands",small toddler backpack straps barely visible on shoulders,grocery store aisle background with shelves softly out of focus,grocery aisle moment while walking with family,Pending
