id,type,expression,pose_action,camera_angle,framing,clothing,hairstyle,accessory,background,micro_scene,status
B01,Body,neutral and observant,standing with feet slightly apart and one hand resting on his belly,front-facing at toddler eye level,full body from head to feet with clean floor visible,soft striped long-sleeve shirt with comfortable cotton pants and toddler sneakers,"same fine black hair and same hairline, natural messy flyaway strands",none,simple living room background with clean floor and soft natural light,standing still in the living room after being called by name,Pending
B02,Body,happy small smile,waving one hand high while shifting weight onto one foot,3/4 angle at toddler eye level,full body with waving hand fully visible,light hoodie with elastic-waist play pants and toddler sneakers,"same fine black hair and same hairline, lightly tousled after play",none,neighborhood playground background with rubber safety flooring and a slide softly out of focus,playground greeting moment near a slide,Pending
B03,Body,curious and focused,pointing with one arm extended while the other hand holds a backpack strap,3/4 angle looking slightly in the direction he points,full body with pointing arm and feet visible,puffer vest over a long-sleeve shirt with soft joggers and toddler shoes,"same fine black hair and same hairline, small natural cowlick visible",small toddler backpack with simple straps,zoo walking path background with distant animal enclosure fencing and family visitors softly out of focus,zoo path moment pointing toward something interesting off-camera,Pending
B04,Body,happy and relaxed,walking mid-step with arms naturally swinging,side angle with slight 3/4 visibility of the face,"full body in mid-step, feet not cropped",color-block windbreaker with comfortable pants and toddler shoes,"same fine black hair and same hairline, slight side-swept toddler hair",none,shopping mall corridor background with storefronts softly out of focus,shopping mall corridor walking moment with family nearby out of frame,Pending
B05,Body,excited open smile,running carefully with short toddler steps and arms bent,side angle at low toddler height,full body with motion but child still sharp enough for sticker use,rain jacket with comfortable pants and small rain boots,"same fine black hair and same hairline, damp-looking tousled hair from outdoor play",none,quiet city park path background with trees and benches softly out of focus,park path moment while running toward someone familiar,Pending
B06,Body,focused and absorbed,"sitting on the floor with knees bent, holding a small toy in both hands",slightly above eye level looking down gently,full seated body with hands and toy visible,denim overalls over a simple cotton T-shirt with socks,"same fine black hair and same hairline, softly brushed forward bangs",small toy,small daycare classroom floor background with simple toys softly out of focus,daycare floor moment while concentrating on a toy,Pending
B07,Body,happy smile,clapping hands together at chest height,front-facing at toddler eye level,full body with both hands visible during clap,neat polo shirt with soft chinos and toddler sneakers,"same fine black hair and same hairline, slightly neater combed toddler hair",none,casual restaurant patio entrance background with simple outdoor seating softly out of focus,restaurant patio entrance moment after seeing something exciting,Pending
B08,Body,curious with slightly open mouth,crouching low with one hand near the floor and one hand balancing,3/4 angle from slightly above,full crouching body with hands and shoes visible,plain toddler sweatshirt with relaxed jogger pants and toddler sneakers,"same fine black hair and same hairline, natural messy flyaway strands","soft bucket hat, face fully visible",indoor play cafe background with padded play equipment softly out of focus,indoor play cafe moment inspecting something on the padded floor,Pending
B09,Body,playful proud smile,holding a small toy out toward the camera with both hands,front-facing at toddler eye level,full body with toy extended forward and feet visible,casual matching set with soft sweatshirt and pants,"same fine black hair and same hairline, lightly tousled after play",small toy,children's library corner background with low bookshelves softly out of focus,library corner moment proudly showing a toy or small object,Pending
B10,Body,curious look-back expression,walking away slightly then looking back over one shoulder,3/4 back angle with face still partly visible,full body from head to feet with backpack visible,simple button-up overshirt over a T-shirt with relaxed pants,"same fine black hair and same hairline, back and side hair contour preserved",small toddler backpack with simple straps,aquarium hallway background with blue tank glow softly out of focus,aquarium hallway moment looking back at family while walking,Pending
B11,Body,happy excited smile,small toddler jump with both feet just leaving the floor and arms slightly out,front-facing at low toddler height,full body with space around arms and feet,puffer vest over a long-sleeve shirt with soft joggers and toddler sneakers,"same fine black hair and same hairline, bouncy tousled toddler hair",none,community center hallway background with neutral walls and soft indoor lighting,community center hallway moment during a tiny jump,Pending
B12,Body,calm neutral with soft eyes,sitting on a small chair with feet dangling and hands resting on lap,front-facing slightly above toddler eye level,full body seated on small chair with feet visible,knit sweater with comfortable pants and small sneakers,"same fine black hair and same hairline, softly brushed forward bangs","soft scarf loosely worn, face and neck still visible",casual cafe window corner background with tables and warm daylight softly out of focus,cafe window corner moment while sitting quietly,Pending
